purchase_year_month,orders,revenue,gmv,freight,avg_review_score,low_rating_count,deliv_late_count,delivered_orders,aov,item_aov,low_rating_rate_pct,late_rate_pct,revenue_mom_growth_pct,orders_mom_growth_pct
2016-09,4,354.75,267.36,87.39,1.0,4,1,1,88.6875,66.84,100.0,100.0,,
2016-10,324,56808.840000000004,49507.66,7301.18,3.5185185185185186,98,3,265,175.33592592592595,152.80141975308644,30.246913580246915,1.1320754716981132,15913.767441860466,8000.0
2016-12,1,19.62,10.9,8.72,5.0,0,0,1,19.62,10.9,0.0,0.0,-99.96546312158459,-99.69135802469135
2017-01,800,137188.49,120312.87,16875.62,4.04625,128,23,750,171.4856125,150.3910875,16.0,3.0666666666666664,699127.7777777778,79900.0
2017-02,1780,286280.62,247303.02,38977.6,4.003932584269663,293,53,1653,160.83180898876404,138.9342808988764,16.46067415730337,3.2062915910465817,108.67685036842376,122.50000000000001
2017-03,2682,432048.59,374344.3,57704.29,4.057419835943326,390,142,2546,161.09194258016407,139.57654735272183,14.541387024608502,5.577376276512176,50.917861642188726,50.67415730337079
2017-04,2404,412422.24,359927.23,52495.01,4.032029950083195,379,181,2303,171.55667221297836,149.7201455906822,15.765391014975041,7.859313938341293,-4.542625633843644,-10.36539895600298
2017-05,3700,586190.95,506071.14,80119.81,4.121351351351351,492,128,3546,158.42998648648648,136.7759837837838,13.297297297297298,3.609701071630006,42.133690462473595,53.91014975041597
2017-06,3245,502963.04,433038.6,69924.44,4.1291217257318955,429,121,3135,154.99631432973806,133.44795069337442,13.220338983050848,3.8596491228070176,-14.198088523884579,-12.297297297297295
2017-07,4026,584971.62,498031.48,86940.14,4.162444113263786,505,133,3872,145.2984649776453,123.7037953303527,12.54346746150025,3.4349173553719003,16.305090727938975,24.067796610169488
2017-08,4331,668204.6,573971.68,94232.92,4.226275686908335,504,139,4193,154.2841376125606,132.52636342646042,11.637035326714384,3.315048891008824,14.2285500961568,7.575757575757569
2017-09,4285,720398.91,624401.6900000001,95997.22,4.172928821470245,549,216,4150,168.1210991831972,145.71801400233375,12.812135355892648,5.204819277108434,7.811127011098096,-1.062110367120761
2017-10,4631,769312.37,664219.43,105092.94,4.1055927445476135,634,237,4478,166.1222997192831,143.4289419131937,13.690347657093499,5.2925413130862,6.7897742932453875,8.074679113185535
2017-11,7544,1179143.77,1010271.37,168872.4,3.8940880169671264,1449,1043,7289,156.30219644750795,133.9172017497349,19.20731707317073,14.309233090958978,53.27243080726753,62.90218095443749
2017-12,5673,863547.23,743914.17,119633.06,3.996121981315001,963,462,5513,152.2205587872378,131.13241142252778,16.97514542570069,8.380192272809722,-26.764890595147705,-24.801166489925762
2018-01,7269,1107301.89,950030.36,157271.53,4.022286421791168,1165,464,7069,152.33208006603383,130.69615628009353,16.026963818957217,6.563870420144292,28.227137038005434,28.133262823902694
2018-02,6728,986908.96,844178.71,142730.25,3.808263971462545,1438,1049,6555,146.6868252080856,125.47245986920332,21.373365041617124,16.003051106025936,-10.872638355200493,-7.442564314211031
2018-03,7211,1155126.82,983213.4400000001,171913.38,3.7342948273471084,1681,1496,7003,160.18954652614062,136.349111080294,23.311607266675914,21.362273311437953,17.044921752458308,7.178953626634965
2018-04,6939,1159698.04,996647.75,163050.29,4.1472834702406685,925,361,6798,167.1275457558726,143.62988182735265,13.330451073641736,5.310385407472786,0.3957331715317647,-3.7720149771182876
2018-05,6873,1149781.82,996517.68,153264.14,4.184053542848829,838,556,6749,167.28965808235125,144.99020515058928,12.192637858286046,8.238257519632539,-0.8550691350655337,-0.9511456982274069
2018-06,6167,1022677.11,865124.31,157552.8,4.269661099400032,677,83,6099,165.8305675368899,140.28284579211936,10.977784984595427,1.3608788325955075,-11.054680791526172,-10.272079150298264
2018-07,6292,1058728.03,895507.22,163220.81,4.246185632549269,725,276,6159,168.2657390336936,142.32473299427843,11.522568340750158,4.481246955674623,3.525151746087296,2.0269174639208742
2018-08,6512,1003308.47,854686.33,148622.14,4.24708230958231,728,660,6351,154.070710995086,131.2479007985258,11.179361179361178,10.392064241851678,-5.234541679226156,3.4965034965035002
2018-09,16,166.46,145.0,21.46,1.75,13,0,0,10.40375,9.0625,81.25,,-99.98340889118577,-99.75429975429975
2018-10,4,0.0,0.0,0.0,2.25,3,0,0,0.0,0.0,75.0,,-100.0,-75.0
