purchase_year_month,order_count,total_gmv,total_freight,total_revenue,active_sellers,active_customers,delivered_orders,item_aov,total_aov,gmv_mom_growth_pct,order_mom_growth_pct
2017-01,800,120312.87,16875.62,137188.49,225,765,750,150.3910875,171.4856125,,
2017-02,1780,247303.02,38977.6,286280.62,423,1755,1653,138.9342808988764,160.83180898876404,105.54992994515051,122.50000000000001
2017-03,2682,374344.3,57704.29,432048.59,499,2642,2546,139.57654735272183,161.09194258016407,51.37069494743736,50.67415730337079
2017-04,2404,359927.23,52495.01,412422.24,505,2372,2303,149.7201455906822,171.55667221297836,-3.8512861021257727,-10.36539895600298
2017-05,3700,506071.14,80119.81,586190.95,580,3625,3546,136.7759837837838,158.42998648648648,40.603738150069965,53.91014975041597
2017-06,3245,433038.6,69924.44,502963.04,536,3180,3135,133.44795069337442,154.99631432973806,-14.431279365189653,-12.297297297297295
2017-07,4026,498031.48,86940.14,584971.62,601,3947,3872,123.7037953303527,145.2984649776453,15.00856505632524,24.067796610169488
2017-08,4331,573971.68,94232.92,668204.6,706,4246,4193,132.52636342646042,154.2841376125606,15.248072270451685,7.575757575757569
2017-09,4285,624401.6900000001,95997.22,720398.91,729,4212,4150,145.71801400233375,168.1210991831972,8.786149518735842,-1.062110367120761
2017-10,4631,664219.43,105092.94,769312.37,770,4561,4478,143.4289419131937,166.1222997192831,6.376943022047232,8.074679113185535
2017-11,7544,1010271.37,168872.4,1179143.77,957,7430,7289,133.9172017497349,156.30219644750795,52.099039017873935,62.90218095443749
2017-12,5673,743914.17,119633.06,863547.23,858,5603,5513,131.13241142252778,152.2205587872378,-26.364916190785447,-24.801166489925762
2018-01,7269,950030.36,157271.53,1107301.89,964,7166,7069,130.69615628009353,152.33208006603383,27.706985336762703,28.133262823902694
2018-02,6728,844178.71,142730.25,986908.96,945,6569,6555,125.47245986920332,146.6868252080856,-11.141922874970023,-7.442564314211031
2018-03,7211,983213.4400000001,171913.38,1155126.82,991,7115,7003,136.349111080294,160.18954652614062,16.469821893518265,7.178953626634965
2018-04,6939,996647.75,163050.29,1159698.04,1118,6882,6798,143.62988182735265,167.1275457558726,1.3663676118991885,-3.7720149771182876
2018-05,6873,996517.68,153264.14,1149781.82,1109,6814,6749,144.99020515058928,167.28965808235125,-0.013050749374587944,-0.9511456982274069
2018-06,6167,865124.31,157552.8,1022677.11,1167,6128,6099,140.28284579211936,165.8305675368899,-13.185252267676773,-10.272079150298264
2018-07,6292,895507.22,163220.81,1058728.03,1254,6230,6159,142.32473299427843,168.2657390336936,3.5119704357862602,2.0269174639208742
2018-08,6512,854686.33,148622.14,1003308.47,1265,6460,6351,131.2479007985258,154.070710995086,-4.5584099254945105,3.4965034965035002
