health_grade,seller_count,total_orders,total_gmv,avg_review,avg_late_rate,avg_dispatch_sla,pct_sellers,pct_gmv
Grade A+ (Elite Champion),200,2686,419762.33,4.709321539947261,0.286099148791563,98.5700663052544,6.482982171799027,3.0883853289944616
Grade A (High Performer),288,15928,1948546.88,4.406886159712411,2.235733753219469,89.31358596854776,9.335494327390599,14.33635933231534
Grade B (Standard),358,21802,2873265.38,4.227286764704444,4.314884493365645,82.98790750919997,11.60453808752026,21.139940417949596
Grade B (Unrated / New),926,1279,287092.39,3.762419006479482,7.721382289416846,66.57667386609072,30.0162074554295,2.112271306817733
Grade C (At Risk),801,47526,6429394.44,4.144036071106692,5.714752905184537,57.678935768645346,25.964343598055105,47.304024310172295
Grade F (Critical Intervention),512,9445,1633582.28,3.542543615554841,22.344906056744758,58.577188202967555,16.59643435980551,12.019019303750584
