shipping_type,order_count,order_share_pct,avg_price_rs,avg_freight_rs,avg_freight_ratio_pct,avg_lead_time_days,late_delivery_rate_pct
Intra-State (Same State),35483,35.96,119.81,15.46,12.9,7.95,6.06
Inter-State (Cross State),63183,64.04,147.83,26.96,18.24,15.15,9.27
