order_bucket,customer_count,total_orders_placed,total_revenue_generated,avg_aov,avg_review_score,pct_customers,pct_revenue
1 Order (Single),93099,93099,14921510.75,160.27573604442583,4.068518458844886,96.88124375624375,94.18033015679758
2 Orders,2745,5490,796319.27,145.04904735883426,4.075227686703096,2.8565184815184814,5.026140651262141
3-5 Orders,241,769,116822.01,150.19034578146614,4.264315352697095,0.2507908757908758,0.7373472871291339
6+ Orders,11,83,8901.210000000001,113.95231474407946,4.443256090314914,0.011446886446886446,0.05618190481114576
