customer_state,order_count,total_gmv,avg_freight,avg_lead_time,late_rate_pct
SP,41746,5202955.05,17.370950332326284,8.76135656379617,5.717913093470033
RJ,12852,1824092.67,23.945252311549915,15.310052815555375,12.9474011826953
MG,11635,1585308.03,23.462704435204436,12.010258342914689,5.48345509239364
RS,5466,750304.02,24.948958026509573,15.300276192406853,6.9886571533113795
PR,5045,683083.76,23.579767907162864,11.991582227413277,4.8761149653121905
SC,3637,520553.34,24.82288482834994,14.959297453377397,9.51333516634589
BA,3380,511349.99,29.82628945801072,19.335465824489262,13.520710059171599
DF,2140,302603.94,23.823764705882354,12.96756810897436,6.869158878504673
ES,2033,275037.31,24.57511111111111,15.789307110368513,12.001967535661585
GO,2020,294591.95,26.4648629795715,15.606338535456764,7.920792079207921
PE,1652,262788.03,36.07382281553398,18.448322994408407,10.411622276029057
CE,1336,227254.71,36.43676714393368,21.26657863492891,14.67065868263473
PA,975,178947.81,39.89618556701031,23.77291691136168,12.0
MT,907,156453.53,32.90745293466224,18.05575601172561,6.615214994487322
MA,747,119648.22,42.59968918918919,21.572976474120562,18.87550200803213
MS,715,116812.64,27.00145275035261,15.618319018465684,11.328671328671328
PB,536,115268.08,48.34535714285714,20.426767609606706,10.634328358208956
PI,495,86914.08,43.03894523326572,19.45709826291628,15.353535353535353
RN,485,83034.98,39.12883817427386,19.27815620604782,10.515463917525773
AL,413,80314.81,38.7216301703163,24.543855361974067,23.002421307506054
SE,350,58920.85,40.902811594202895,21.519788280818133,14.571428571428571
TO,280,49621.74,42.0526164874552,17.65806260982698,12.5
RO,253,46140.64,46.22421052631579,19.37203651310776,2.766798418972332
AM,148,22356.84,37.27136054421769,26.42599090038314,4.054054054054054
AC,81,15982.95,45.51543209876543,21.035712962962965,3.7037037037037033
AP,68,13474.3,41.00735294117647,27.185067716970703,4.411764705882353
RR,46,7829.43,48.59108695652174,29.387546014001806,10.869565217391305
