installment_tier,order_count,total_payment_value,avg_payment_value,median_payment_value,avg_review_score,low_rating_count,delivered_orders,late_count,order_share_pct,value_share_pct,low_rating_rate_pct,late_rate_pct,aov_multiplier_vs_single
1. 1 Installment (Single Pay),24004,2422262.18,100.91077237127146,71.625,4.141476420596567,3210,23355,1694,32.0160053351117,19.312393356070988,13.3727712047992,7.253264825519161,1.0
2. 2 - 3 Installments,22651,3070871.22,135.57331773431636,111.38,4.068959427839831,3398,22024,1783,30.21140380126709,24.48367209633666,15.001545185643018,8.095713766799854,1.343496978058143
3. 4 - 6 Installments,16160,2950182.46,182.5607957920792,128.28,4.046163366336634,2528,15694,1293,21.553851283761254,23.521435710027543,15.643564356435643,8.238817382439148,1.8091308935819115
4. 7 - 10 Installments,11819,3976325.46,336.43501649885775,206.78,3.9825704374312547,2107,11422,993,15.763921307102368,31.702745486981065,17.827227345799137,8.693748905620732,3.333985149385679
5. 11+ Installments,341,122885.83,360.3690029325513,216.05,3.844574780058651,74,329,32,0.45481827275758585,0.9797533505837378,21.700879765395893,9.72644376899696,3.571164846570391
