customer_state,total_orders,avg_review_score,low_rating_rate_pct,delivered_orders,avg_lead_time_days,late_rate_pct,cnt_ontime,cnt_late,low_rate_ontime,low_rate_late,score_ontime,score_late,low_rate_abs_diff,low_rate_rel_risk
SP,41746,4.1598476500742585,12.983279835193793,40494,8.761385996084925,5.894700449449301,38107.0,2387.0,8.84876794289763,45.11939673229996,4.318340462382239,2.8881441139505655,36.27062878940233,5.098946771286342
RJ,12852,3.8557422969187676,21.226268285091816,12350,15.30943754217274,13.473684210526315,10686.0,1664.0,11.229646266142616,67.1875,4.2314242934680895,2.120793269230769,55.957853733857384,5.983046875
MG,11635,4.120154705629566,13.7086377309841,11354,12.008665646060452,5.61035758323058,10717.0,637.0,9.797517962116265,50.54945054945055,4.270504805449286,2.6467817896389323,40.75193258733428,5.159413919413919
RS,5466,4.124588364434687,13.574826198316867,5344,15.300276192406853,7.1482035928143715,4962.0,382.0,8.686013704151552,55.75916230366492,4.308343409915357,2.505235602094241,47.073148599513374,6.419419103266481
PR,5045,4.1688800792864225,12.784935579781962,4923,11.991582227413277,4.996953077391835,4677.0,246.0,9.3863587769938,45.1219512195122,4.2991233696814195,2.8902439024390243,35.735592442518396,4.807183732429579
SC,3637,4.058014847401704,15.067363211437998,3546,14.954782876767771,9.75747320924986,3200.0,346.0,9.28125,52.02312138728323,4.28,2.6098265895953756,42.74187138728323,5.605184795936241
BA,3380,3.83491124260355,19.644970414201183,3256,19.335465824489262,14.035626535626536,2799.0,457.0,11.468381564844588,55.14223194748359,4.138263665594855,2.516411378555799,43.673850382639,4.808196486635718
DF,2140,4.055140186915888,15.327102803738319,2080,12.96756810897436,7.0673076923076925,1933.0,147.0,9.82928091050181,60.544217687074834,4.256078634247284,2.401360544217687,50.714936776573026,6.159577515216614
ES,2033,4.005410723069356,15.838662075750124,1995,15.789307110368513,12.230576441102757,1751.0,244.0,9.651627641347801,50.81967213114754,4.235865219874357,2.692622950819672,41.16804448979974,5.265399165777477
GO,2020,4.028217821782178,15.198019801980198,1957,15.606338535456764,8.175779253960142,1797.0,160.0,9.961046188091263,53.75,4.234279354479688,2.48125,43.78895381190874,5.396019553072626
PE,1652,3.9927360774818403,17.130750605326877,1593,18.448322994408407,10.797237915881984,1421.0,172.0,9.078114004222378,65.11627906976744,4.2885292047853625,2.255813953488372,56.038165065545066,7.172886244817018
CE,1336,3.843562874251497,20.059880239520957,1279,21.26657863492891,15.32447224394058,1083.0,196.0,8.956602031394276,63.775510204081634,4.2539242843951985,2.188775510204082,54.81890817268736,7.120502840311382
PA,975,3.8276923076923075,20.102564102564102,946,23.77291691136168,12.367864693446089,829.0,117.0,11.58021712907117,67.52136752136752,4.1423401688781665,2.1025641025641026,55.94115039229635,5.8307514245014245
MT,907,4.0859977949283355,14.22271223814774,886,18.05575601172561,6.772009029345373,826.0,60.0,10.53268765133172,50.0,4.239709443099273,2.6166666666666667,39.46731234866828,4.747126436781609
MA,747,3.7389558232931726,22.356091030789827,717,21.572976474120562,19.665271966527197,576.0,141.0,10.9375,59.57446808510638,4.168402777777778,2.3617021276595747,48.63696808510638,5.446808510638298
MS,715,4.107692307692307,14.685314685314685,701,15.618319018465684,11.554921540656206,620.0,81.0,8.38709677419355,51.85185185185185,4.359677419354838,2.617283950617284,43.464755077658296,6.182336182336181
PB,536,4.005597014925373,16.977611940298505,517,20.426767609606706,11.02514506769826,460.0,57.0,9.782608695652174,59.64912280701754,4.265217391304348,2.4210526315789473,49.86651411136537,6.097465886939571
PI,495,3.905050505050505,18.787878787878785,476,19.45709826291628,15.966386554621847,400.0,76.0,8.75,57.89473684210527,4.275,2.4210526315789473,49.14473684210527,6.616541353383459
RN,485,4.076288659793814,15.051546391752577,474,19.27815620604782,10.759493670886076,423.0,51.0,7.092198581560284,66.66666666666666,4.385342789598108,2.019607843137255,59.574468085106375,9.399999999999999
AL,413,3.736077481840194,24.455205811138015,397,24.543855361974067,23.929471032745592,302.0,95.0,9.271523178807946,62.10526315789474,4.311258278145695,2.2842105263157895,52.83373997908679,6.6984962406015045
SE,350,3.8,22.0,335,21.519788280818133,15.223880597014924,284.0,51.0,10.211267605633804,68.62745098039215,4.253521126760563,1.9215686274509804,58.41618337475835,6.72075726842461
TO,280,4.1,13.571428571428571,274,17.65806260982698,12.773722627737227,239.0,35.0,8.368200836820083,37.142857142857146,4.297071129707113,3.2,28.774656306037063,4.4385714285714295
RO,253,4.055335968379446,15.41501976284585,243,19.37203651310776,2.880658436213992,236.0,7.0,10.59322033898305,57.14285714285714,4.216101694915254,2.5714285714285716,46.54963680387409,5.394285714285714
AM,148,4.175675675675675,14.864864864864865,145,26.42599090038314,4.137931034482759,139.0,6.0,11.510791366906476,50.0,4.294964028776978,2.8333333333333335,38.489208633093526,4.343749999999999
AC,81,4.049382716049383,16.049382716049383,80,21.035712962962965,3.75,77.0,3.0,12.987012987012985,66.66666666666666,4.181818181818182,1.6666666666666667,53.67965367965367,5.133333333333334
AP,68,4.176470588235294,7.352941176470589,67,27.185067716970703,4.477611940298507,64.0,3.0,6.25,0.0,4.203125,4.666666666666667,-6.25,0.0
RR,46,3.608695652173913,23.91304347826087,41,29.387546014001806,12.195121951219512,36.0,5.0,5.555555555555555,80.0,4.194444444444445,1.8,74.44444444444444,14.4
