complaint_theme,comment_count,pct_low_review_comments
"Logistics & Non-Delivery / Delay (""não recebi"", ""atraso"", ""demora"")",6113,53.84
"Product Quality / Defect / Wrong Item (""defeito"", ""quebrado"", ""ruim"")",6487,57.13
"Customer Service & Seller Response (""atendimento"", ""vendedor"", ""cancelar"")",1629,14.35
