primary_payment_type,order_count,total_value,avg_order_value,median_order_value,avg_review_score
credit_card,74975,12542527.15,167.28945848616206,109.56,4.072624208069357
boleto,19784,2869361.27,145.03443540234534,93.89,4.071421350586332
voucher,3151,379043.91,120.29321167883211,82.78,3.9834973024436686
debit_card,1527,217939.79,142.72415848068107,89.3,4.159790438768828
not_defined,3,0.0,0.0,0.0,1.6666666666666667
