category_english,order_count,low_review_count,low_review_rate_pct,avg_review_score,avg_freight_ratio,late_delivery_rate
fashion_male_clothing,112,30,26.785714285714285,3.6785714285714284,27.256922668281653,4.716981132075472
office_furniture,1264,286,22.626582278481013,3.6186708860759493,26.448317535193627,9.236947791164658
audio,348,77,22.126436781609197,3.824712643678161,32.38557261695607,13.005780346820808
uncategorized,1413,278,19.67445152158528,3.9228591648973814,30.978805449851354,8.929889298892988
construction_tools_safety,163,32,19.631901840490798,3.8773006134969323,23.745576729591406,4.516129032258064
fixed_telephony,216,42,19.444444444444446,3.8796296296296298,41.37042082645203,5.213270142180095
fashion_underwear_beach,121,23,19.00826446280992,3.909090909090909,42.43343326761367,12.82051282051282
dvds_blu_ray,59,11,18.64406779661017,4.033898305084746,81.44224317385549,7.142857142857142
home_confort,373,68,18.230563002680967,3.9195710455764075,20.94930319049195,10.597826086956522
air_conditioning,253,45,17.786561264822133,3.9802371541501977,21.81209234383587,4.0650406504065035
bed_bath_table,9299,1588,17.07710506506076,3.958597698677277,27.24733183414852,8.826742407690627
furniture_decor,6351,1057,16.643048338844277,4.0108644307983,32.51589835530077,8.56682769726248
home_construction,478,79,16.527196652719663,4.01255230125523,24.58769060568315,8.280254777070063
computers_accessories,6661,1092,16.393934844617924,4.014712505629785,29.74080286180009,7.7372711890478385
baby,2840,455,16.02112676056338,4.035211267605634,28.566453256993583,9.261939218523878
telephony,4181,656,15.690026309495336,3.996412341545085,50.645393516517686,8.539877300613497
art,199,31,15.577889447236181,4.030150753768845,28.50698521975007,7.8125
watches_gifts,5603,869,15.509548456184188,4.052114938425843,16.474344309614214,8.552631578947368
furniture_living_room,415,63,15.180722891566264,4.026506024096386,31.559734355167496,8.5995085995086
furniture_bedroom,93,14,15.053763440860216,4.161290322580645,34.00691121277393,7.954545454545454
agro_industry_and_commerce,182,27,14.835164835164836,4.021978021978022,23.82571733439167,5.084745762711865
construction_tools_construction,740,109,14.72972972972973,4.075675675675676,33.78685716069475,9.203296703296704
consoles_games,1058,155,14.650283553875237,4.050094517958412,36.809646406844784,8.185404339250493
auto,3877,567,14.624709827185969,4.085375290172814,32.16991024326716,8.656637635259964
small_appliances,627,90,14.354066985645932,4.154704944178628,24.983795811040448,6.270627062706271
tablets_printing_image,77,11,14.285714285714285,4.090909090909091,22.985503833903252,6.493506493506493
electronics,2539,362,14.257581725088617,4.084285151634502,68.7906804596495,9.85634477254589
kitchen_dining_laundry_garden_furniture,244,34,13.934426229508196,4.032786885245901,35.218210528043436,4.641350210970464
cine_photo,65,9,13.846153846153847,4.230769230769231,33.408689419865546,7.936507936507936
computers,181,25,13.812154696132598,4.138121546961326,5.624701242957317,7.344632768361582
market_place,276,38,13.768115942028986,4.032608695652174,31.888549931645333,4.814814814814815
fashion_shoes,238,32,13.445378151260504,4.180672268907563,28.13011046231039,6.437768240343347
housewares,5829,782,13.415680219591696,4.135014582261109,37.28734401200223,7.014767932489452
musical_instruments,624,83,13.301282051282051,4.169871794871795,24.874062763618525,8.896210873146623
sports_leisure,7685,1021,13.28562134027326,4.157839947950553,28.21940113532494,7.778519012675117
christmas_supplies,128,17,13.28125,4.0390625,65.20481218441469,9.6
perfumery,3149,418,13.27405525563671,4.204826929183868,25.79628542658638,7.414634146341463
home_appliances_2,234,31,13.247863247863249,4.1239316239316235,19.42312430173446,7.048458149779736
garden_tools,3480,460,13.218390804597702,4.1419540229885055,32.40536745890034,8.030480656506448
toys,3863,506,13.098628009319183,4.172663732850117,26.067591767949306,7.537688442211055
health_beauty,8803,1141,12.96149040099966,4.169033284107691,28.028830030140405,8.99489322191272
home_appliances,764,98,12.827225130890053,4.143979057591623,39.41493177218672,6.693440428380187
costruction_tools_garden,188,24,12.76595744680851,4.23404255319149,41.83239401710562,7.065217391304348
cool_stuff,3597,452,12.566027244926328,4.1659716430358635,20.719985892752543,6.895573212258797
food,445,55,12.359550561797752,4.249438202247191,34.24190959161943,10.091743119266056
construction_tools_lights,236,29,12.288135593220339,4.088983050847458,23.508492877284258,8.974358974358974
drinks,289,35,12.110726643598616,4.159169550173011,39.172279480840864,6.451612903225806
fashion_bags_accessories,1855,222,11.967654986522911,4.175202156334231,33.17752329727781,6.674020959735246
industry_commerce_and_business,235,28,11.914893617021278,4.165957446808511,27.271188473898235,8.225108225108226
pet_shop,1703,198,11.626541397533764,4.2360540223135645,28.73543165110748,6.305770374776919
stationery,2299,267,11.613745106568073,4.2370595911265765,30.61011543149258,7.770870337477797
books_imported,52,6,11.538461538461538,4.384615384615385,24.057324117740478,2.0408163265306123
signaling_and_security,139,16,11.510791366906476,4.107913669064748,43.81746697117137,5.839416058394161
small_appliances_home_oven_and_coffee,75,8,10.666666666666668,4.293333333333333,16.56105987781748,6.944444444444445
books_technical,259,27,10.424710424710424,4.382239382239383,35.05355695032385,10.980392156862745
costruction_tools_tools,97,10,10.309278350515463,4.371134020618556,37.778817357330105,6.185567010309279
luggage_accessories,1028,94,9.14396887159533,4.331712062256809,25.86378576912845,5.528134254689043
books_general_interest,509,42,8.25147347740668,4.461689587426326,35.528937699901476,6.910569105691057
food_drink,225,14,6.222222222222222,4.364444444444445,46.78870909280619,6.392694063926941
