primary_payment_type,order_count,total_payment_value,avg_order_payment,median_order_payment,avg_review_score,order_share_pct,value_share_pct
credit_card,74975,12542527.15,167.28945848616206,109.56,4.072624208069357,75.39722445695897,78.34735049404593
boleto,19784,2869361.27,145.03443540234534,93.89,4.071421350586332,19.89541432019308,17.923569183960726
voucher,3151,379043.91,120.29321167883211,82.78,3.9834973024436686,3.1687449718423166,2.3677115237022703
debit_card,1527,217939.79,142.72415848068107,89.3,4.159790438768828,1.5355993563958166,1.3613687982910816
not_defined,3,0.0,0.0,0.0,1.6666666666666667,0.0030168946098149637,0.0
