installment_tier,order_count,total_payment_value,avg_payment_value,median_payment_value,avg_review_score,order_share_pct
1. 1 Installment (Full Pay),24004,2422262.18,100.91077237127146,71.625,4.141476420596567,32.0160053351117
2. 2 - 3 Installments,22651,3070871.22,135.57331773431636,111.38,4.068959427839831,30.21140380126709
3. 4 - 6 Installments,16160,2950182.46,182.5607957920792,128.28,4.046163366336634,21.553851283761254
4. 7 - 10 Installments,11819,3976325.46,336.43501649885775,206.78,3.9825704374312547,15.763921307102368
5. 11+ Installments,341,122885.83,360.3690029325513,216.05,3.844574780058651,0.45481827275758585
