category_english,orders,gmv,freight,avg_price,avg_freight,avg_review_score,low_rating_count,delivered_orders,late_count,avg_lead_time_days,revenue,freight_ratio_pct,low_rating_rate_pct,late_rate_pct,price_diff_vs_baseline,freight_diff_vs_baseline,review_diff_vs_baseline,low_rating_diff_vs_baseline,late_rate_diff_vs_baseline,priority_segment
pet_shop,1703,214462.58000000002,39594.48,125.93222548443923,23.249841456253673,4.2360540223135645,198,1681,106,11.38985769603631,254057.06000000003,18.4621858041622,11.626541397533764,6.305770374776919,-11.817774515560771,0.42984145625367276,0.16605402231356425,-3.4134586024662354,-1.8042296252230807,High-Volume / High-Satisfaction
fashion_bags_accessories,1855,152842.65,31514.32,82.39495956873316,16.988851752021564,4.175202156334231,222,1812,121,11.245222199240056,184356.97,20.618799791812037,11.967654986522911,6.677704194260485,-55.35504043126684,-5.831148247978437,0.10520215633423113,-3.072345013477088,-1.432295805739514,High-Volume / High-Satisfaction
luggage_accessories,1028,140387.92,30415.01,136.56412451361868,29.586585603112837,4.331712062256809,94,1013,56,10.882859173339183,170802.93000000002,21.6649765877292,9.14396887159533,5.528134254689043,-1.1858754863813203,6.766585603112837,0.26171206225680876,-5.896031128404669,-2.5818657453109566,High-Volume / High-Satisfaction
watches_gifts,5603,1203090.21,100791.59,214.7225075852222,17.988861324290557,4.052114938425843,869,5474,468,12.819929574128222,1303881.8,8.377725058539042,15.509548456184188,8.54950675922543,76.97250758522219,-4.831138675709443,-0.017885061574157035,0.4695484561841887,0.4395067592254307,High-Volume / Low-Satisfaction
bed_bath_table,9299,1031939.54,204154.08,110.97317345951178,21.954412302398104,3.958597698677277,1588,9154,808,13.032464177772923,1236093.62,19.783531116561342,17.07710506506076,8.826742407690627,-26.776826540488216,-0.8655876976018959,-0.11140230132272322,2.0371050650607607,0.7167424076906279,High-Volume / Low-Satisfaction
computers_accessories,6661,912684.83,147178.56,137.01919081219035,22.095565230445878,4.014712505629785,1092,6502,503,13.186484995898066,1059863.39,16.125890905845342,16.393934844617924,7.736081205782836,-0.7308091878096548,-0.7244347695541222,-0.05528749437021485,1.3539348446179247,-0.3739187942171638,High-Volume / Low-Satisfaction
furniture_decor,6351,732081.75,172741.03,115.27031176192726,27.199028499448904,4.0108644307983,1057,6210,532,13.12875637040019,904822.78,23.595866172049774,16.643048338844277,8.56682769726248,-22.47968823807274,4.3790284994489035,-0.05913556920170038,1.6030483388442782,0.4568276972624812,High-Volume / Low-Satisfaction
baby,2840,411556.27,68248.43,144.9141795774648,24.03113732394366,4.035211267605634,455,2764,256,12.705514807612424,479804.7,16.583013059186293,16.02112676056338,9.261939218523878,7.164179577464807,1.2111373239436602,-0.034788732394366306,0.9811267605633809,1.1519392185238786,High-Volume / Low-Satisfaction
telephony,4181,323217.86,71163.68,77.3063525472375,17.0207318823248,3.996412341545085,656,4075,348,12.974857657350602,394381.54,22.017248675552768,15.690026309495336,8.539877300613497,-60.443647452762505,-5.799268117675201,-0.07358765845491533,0.6500263094953365,0.42987730061349794,High-Volume / Low-Satisfaction
office_furniture,1264,273173.47000000003,68225.72,216.1182515822785,53.97604430379747,3.6186708860759493,286,1245,115,20.70659708277555,341399.19000000006,24.975236431268378,22.626582278481013,9.236947791164658,78.3682515822785,31.156044303797472,-0.45132911392405095,7.586582278481014,1.1269477911646586,High-Volume / Low-Satisfaction
uncategorized,1413,177910.84,27686.87,125.91000707714083,19.594387827317764,3.9228591648973814,278,1355,121,12.752533030955309,205597.71,15.562216445046293,19.67445152158528,8.929889298892988,-11.839992922859167,-3.2256121726822364,-0.14714083510261888,4.63445152158528,0.8198892988929884,High-Volume / Low-Satisfaction
