category_english,orders,gmv,freight,avg_price,avg_freight,avg_review_score,low_rating_count,delivered_orders,late_count,avg_lead_time_days,revenue,freight_ratio_pct,low_rating_rate_pct,late_rate_pct,price_diff_vs_baseline,freight_diff_vs_baseline,review_diff_vs_baseline,low_rating_diff_vs_baseline,late_rate_diff_vs_baseline
health_beauty,8803,1259968.04,182651.86,143.12939225264114,20.74881972054981,4.169033284107691,1141,8614,775,12.091885805693112,1442619.9,14.496547071146344,12.96149040099966,8.996981657766428,5.379392252641139,-2.0711802794501892,0.09903328410769063,-2.0785095990003395,0.8869816577664285
watches_gifts,5603,1203090.21,100791.59,214.7225075852222,17.988861324290557,4.052114938425843,869,5474,468,12.819929574128222,1303881.8,8.377725058539042,15.509548456184188,8.54950675922543,76.97250758522219,-4.831138675709443,-0.017885061574157035,0.4695484561841887,0.4395067592254307
bed_bath_table,9299,1031939.54,204154.08,110.97317345951178,21.954412302398104,3.958597698677277,1588,9154,808,13.032464177772923,1236093.62,19.783531116561342,17.07710506506076,8.826742407690627,-26.776826540488216,-0.8655876976018959,-0.11140230132272322,2.0371050650607607,0.7167424076906279
sports_leisure,7685,987819.48,168516.26,128.5386441119063,21.927945348080677,4.157839947950553,1021,7495,583,12.257112205976824,1156335.74,17.05941858931553,13.28562134027326,7.778519012675117,-9.211355888093692,-0.8920546519193238,0.0878399479505525,-1.75437865972674,-0.3314809873248823
computers_accessories,6661,912684.83,147178.56,137.01919081219035,22.095565230445878,4.014712505629785,1092,6502,503,13.186484995898066,1059863.39,16.125890905845342,16.393934844617924,7.736081205782836,-0.7308091878096548,-0.7244347695541222,-0.05528749437021485,1.3539348446179247,-0.3739187942171638
furniture_decor,6351,732081.75,172741.03,115.27031176192726,27.199028499448904,4.0108644307983,1057,6210,532,13.12875637040019,904822.78,23.595866172049774,16.643048338844277,8.56682769726248,-22.47968823807274,4.3790284994489035,-0.05913556920170038,1.6030483388442782,0.4568276972624812
housewares,5829,635149.98,146490.01,108.96379825012866,25.131242065534398,4.135014582261109,782,5688,399,11.111738892714357,781639.99,23.063845487328837,13.415680219591696,7.014767932489452,-28.78620174987134,2.3112420655343975,0.06501458226110834,-1.6243197804083032,-1.0952320675105476
cool_stuff,3597,634415.95,83927.04,176.3736308034473,23.33251042535446,4.1659716430358635,452,3524,243,12.411484933340692,718342.99,13.229024270275676,12.566027244926328,6.895573212258797,38.6236308034473,0.5125104253544599,0.09597164303586325,-2.473972755073671,-1.2144267877412025
auto,3877,591982.92,92440.31,152.69097755996907,23.843257673458858,4.085375290172814,567,3790,328,12.331706722310196,684423.23,15.615367754191285,14.624709827185969,8.654353562005277,14.94097755996907,1.0232576734588577,0.015375290172813472,-0.41529017281403036,0.5443535620052771
garden_tools,3480,486417.93,98993.1,139.7752672413793,28.446293103448276,4.1419540229885055,460,3412,274,13.664890056472798,585411.03,20.35144962686717,13.218390804597702,8.030480656506448,2.0252672413793107,5.626293103448276,0.07195402298850517,-1.8216091954022975,-0.07951934349355128
toys,3863,483475.83,77641.28,125.15553455863319,20.098700491845715,4.172663732850117,506,3781,285,11.752449157948613,561117.11,16.058978584306892,13.098628009319183,7.537688442211055,-12.594465441366808,-2.721299508154285,0.10266373285011632,-1.9413719906808158,-0.5723115577889448
baby,2840,411556.27,68248.43,144.9141795774648,24.03113732394366,4.035211267605634,455,2764,256,12.705514807612424,479804.7,16.583013059186293,16.02112676056338,9.261939218523878,7.164179577464807,1.2111373239436602,-0.034788732394366306,0.9811267605633809,1.1519392185238786
perfumery,3149,399511.48,54242.55,126.86931724356938,17.22532550015878,4.204826929183868,418,3074,228,11.924081944444444,453754.02999999997,13.57721935800193,13.27405525563671,7.41704619388419,-10.880682756430616,-5.594674499841219,0.13482692918386796,-1.7659447443632885,-0.6929538061158098
telephony,4181,323217.86,71163.68,77.3063525472375,17.0207318823248,3.996412341545085,656,4075,348,12.974857657350602,394381.54,22.017248675552768,15.690026309495336,8.539877300613497,-60.443647452762505,-5.799268117675201,-0.07358765845491533,0.6500263094953365,0.42987730061349794
office_furniture,1264,273173.47000000003,68225.72,216.1182515822785,53.97604430379747,3.6186708860759493,286,1245,115,20.70659708277555,341399.19000000006,24.975236431268378,22.626582278481013,9.236947791164658,78.3682515822785,31.156044303797472,-0.45132911392405095,7.586582278481014,1.1269477911646586
stationery,2299,232080.79,47029.46,100.94858199217052,20.456485428447152,4.2370595911265765,267,2252,175,12.785560052587002,279110.25,20.26426228556013,11.613745106568073,7.770870337477797,-36.80141800782948,-2.363514571552848,0.1670595911265762,-3.426254893431926,-0.3391296625222022
computers,181,223040.93,9896.66,1232.2703314917126,54.67767955801105,4.138121546961326,25,177,13,13.910157198158611,232937.59,4.437149719560441,13.812154696132598,7.344632768361582,1094.5203314917126,31.85767955801105,0.06812154696132566,-1.2278453038674009,-0.7653672316384172
pet_shop,1703,214462.58000000002,39594.48,125.93222548443923,23.249841456253673,4.2360540223135645,198,1681,106,11.38985769603631,254057.06000000003,18.4621858041622,11.626541397533764,6.305770374776919,-11.817774515560771,0.42984145625367276,0.16605402231356425,-3.4134586024662354,-1.8042296252230807
musical_instruments,624,191235.04,18626.6,306.46641025641026,29.85032051282051,4.169871794871795,83,607,54,13.122493726737446,209861.64,9.740160589816593,13.301282051282051,8.896210873146623,168.71641025641026,7.030320512820509,0.09987179487179443,-1.738717948717948,0.786210873146624
small_appliances,627,189653.47,15995.23,302.4776236044657,25.5107336523126,4.154704944178628,90,606,38,11.00816810674123,205648.7,8.433924251425507,14.354066985645932,6.270627062706271,164.7276236044657,2.6907336523125984,0.08470494417862806,-0.6859330143540667,-1.8393729372937289
uncategorized,1413,177910.84,27686.87,125.91000707714083,19.594387827317764,3.9228591648973814,278,1355,121,12.752533030955309,205597.71,15.562216445046293,19.67445152158528,8.929889298892988,-11.839992922859167,-3.2256121726822364,-0.14714083510261888,4.63445152158528,0.8198892988929884
electronics,2539,160861.7,46881.59,63.35632138637259,18.464588420638044,4.084285151634502,362,2506,247,12.941406753421418,207743.29,29.144034907003963,14.257581725088617,9.85634477254589,-74.3936786136274,-4.355411579361956,0.014285151634501503,-0.7824182749113824,1.746344772545891
consoles_games,1058,157333.38999999998,19821.91,148.70830812854442,18.735264650283554,4.050094517958412,155,1014,83,13.793242909452845,177155.3,12.59866707251398,14.650283553875237,8.185404339250493,10.958308128544417,-4.084735349716446,-0.019905482041588485,-0.389716446124762,0.07540433925049328
fashion_bags_accessories,1855,152842.65,31514.32,82.39495956873316,16.988851752021564,4.175202156334231,222,1812,121,11.245222199240056,184356.97,20.618799791812037,11.967654986522911,6.677704194260485,-55.35504043126684,-5.831148247978437,0.10520215633423113,-3.072345013477088,-1.432295805739514
construction_tools_construction,740,145116.63,20798.28,196.10355405405406,28.10578378378378,4.075675675675676,109,728,67,10.909530979726293,165914.91,14.332113418014186,14.72972972972973,9.203296703296704,58.35355405405406,5.285783783783781,0.005675675675675507,-0.3102702702702693,1.093296703296705
luggage_accessories,1028,140387.92,30415.01,136.56412451361868,29.586585603112837,4.331712062256809,94,1013,56,10.882859173339183,170802.93000000002,21.6649765877292,9.14396887159533,5.528134254689043,-1.1858754863813203,6.766585603112837,0.26171206225680876,-5.896031128404669,-2.5818657453109566
home_appliances_2,234,113359.64,10601.28,484.442905982906,45.30461538461539,4.1239316239316235,31,227,16,13.892547723935389,123960.92,9.351899847247221,13.247863247863249,7.048458149779736,346.692905982906,22.484615384615388,0.05393162393162321,-1.7921367521367504,-1.0615418502202632
home_construction,478,83635.67,13828.6,174.9700209205021,28.930125523012553,4.01255230125523,79,471,39,13.558033537784068,97464.27,16.534332779303377,16.527196652719663,8.280254777070063,37.220020920502094,6.110125523012552,-0.05744769874477029,1.487196652719664,0.1702547770700633
