delay_bucket,order_count,avg_review_score,pct_5_star,pct_1_star,avg_actual_lead_time,pct_total_orders
1. Early 10+ days,57203,4.312675908606192,63.80784224603605,6.691956715556876,10.016436881952579,59.29615424484296
2. Early 5-9 days,22562,4.265800904175162,60.584168070206545,6.683804627249357,11.485168560214323,23.387581631595314
3. Early 1-4 days,7417,4.138330861534313,55.8716462181475,8.03559390589187,14.55142470032558,7.688400539027677
4. On-Time (0 days),1462,4.146374829001368,55.12995896032832,7.523939808481532,16.961587951879718,1.5154970457136934
5. Late 1-3 days,2662,3.7486851990984222,42.900075131480094,14.199849737039818,21.076333922906752,2.7594070695553023
6. Late 4-7 days,1819,2.296866410115448,17.75700934579439,53.655854865310616,26.680848667867977,1.8855602778065719
7. Late 8-14 days,1790,1.7374301675977655,7.76536312849162,68.2122905027933,33.39452283131595,1.8554991188970664
8. Late 15+ days,1555,1.7041800643086817,6.881028938906752,69.58199356913182,52.89580215404311,1.611900072561418
