operational_factor,sample_size_n,low_review_rate_pct,relative_risk_vs_baseline
Baseline Marketplace Average,99441,15.09,1.0
Delivery Status: Late (Delivered after estimated date),7826,54.64,3.62
Delivery Status: On-Time / Early,88644,9.49,0.63
Seller Dispatch: Slow (> 5 days to hand to carrier),14180,22.26,1.47
Seller Dispatch: Fast (<= 5 days),85261,13.9,0.92
Freight Cost: High (Freight > 50% of item price),15610,15.27,1.01
Freight Cost: Normal (Freight <= 50% of item price),83831,15.06,1.0
