route_code,seller_state,customer_state,order_count,total_gmv,avg_freight_rs,avg_lead_time_days,late_delivery_rate_pct,avg_review_score,low_rating_rate_pct
SP -> AL,SP,AL,265,42568.5,36.955698113207546,25.053054602396514,25.28301886792453,3.6037735849056602,27.169811320754718
MA -> SP,MA,SP,125,11685.689999999999,33.8276,16.093032220728794,24.8,3.864,20.0
SP -> MA,SP,MA,508,69351.42,42.52692913385827,22.04645463998043,20.47244094488189,3.6181102362204722,25.0
SP -> PI,SP,PI,343,51477.83,41.335772594752186,20.33918854835078,17.49271137026239,3.8658892128279883,19.825072886297377
PR -> BA,PR,BA,147,35056.38,50.50918367346939,21.892349294224292,16.3265306122449,3.7142857142857144,22.448979591836736
SP -> SE,SP,SE,212,33970.35,43.47584905660377,21.321168480680203,16.037735849056602,3.7641509433962264,21.22641509433962
SP -> RJ,SP,RJ,8431,1106386.08,23.544425335072944,16.27930098434218,14.992290357015776,3.796109595540268,22.571462459969162
SP -> CE,SP,CE,1007,154695.17,34.80942403177755,21.263558310376492,14.697120158887786,3.8709036742800396,19.563058589870906
SP -> BA,SP,BA,2383,322238.67,27.565979857322702,19.799361947211395,14.477549307595469,3.7981535879143937,20.268569030633653
SP -> MS,SP,MS,484,73971.57,25.355578512396693,15.961094016348985,14.46280991735537,4.049586776859504,16.32231404958678
SP -> ES,SP,ES,1486,189925.96,22.800275908479136,15.807806653547798,13.930013458950203,3.980484522207268,16.41991924629879
PR -> RJ,PR,RJ,997,149910.02,25.78925777331996,17.255901366888583,13.54062186559679,3.7993981945837514,22.668004012036107
SP -> PA,SP,PA,700,116321.68,36.0839,23.28047071861084,12.857142857142856,3.802857142857143,19.857142857142858
SP -> TO,SP,TO,200,35985.69,42.470150000000004,17.78958632966723,12.5,4.075,15.0
SP -> RN,SP,RN,341,56073.82,41.284105571847505,20.437845558882234,11.730205278592376,4.0146627565982405,16.129032258064516
RJ -> BA,RJ,BA,138,29599.440000000002,30.857608695652175,16.937244084362142,10.869565217391305,4.072463768115942,14.492753623188406
SP -> SC,SP,SC,2364,310323.31,24.251290186125214,15.82198851037196,10.829103214890017,3.989424703891709,16.20135363790186
SP -> PB,SP,PB,348,67921.53,49.21715517241379,20.67615162037037,10.632183908045976,3.9798850574712645,17.81609195402299
SP -> PE,SP,PE,1170,162658.61,33.96371794871795,18.930752478405967,10.427350427350428,3.960683760683761,17.52136752136752
MG -> BA,MG,BA,376,46336.28,29.865239361702127,18.426727105530187,10.372340425531915,4.023936170212766,15.691489361702127
RJ -> SC,RJ,SC,117,22535.12,26.39752136752137,15.139084304728836,10.256410256410255,4.128205128205129,12.82051282051282
SC -> RJ,SC,RJ,479,79954.48,28.98359081419624,16.38359640957447,10.020876826722338,3.906054279749478,19.41544885177453
RJ -> PR,RJ,PR,206,41316.94,22.38718446601942,12.910738118044153,8.737864077669903,4.033980582524272,19.41747572815534
DF -> RJ,DF,RJ,101,12441.87,22.241386138613862,13.983247130594135,6.9306930693069315,3.772277227722772,24.752475247524753
