customer_region,order_count,total_gmv,avg_order_price,avg_freight_value,avg_freight_ratio,avg_lead_time_days,median_lead_time_days,late_delivery_rate_pct,avg_review_score,order_share_pct
Southeast,66200,8648409.57,130.64062794561934,19.837533987915407,27.731789754336294,10.751909954252744,8.71011574074074,7.450938921033947,4.165513595166163,68.61667945023736
South,13814,1901973.11,137.68445852034168,24.347492399015493,33.51970584126688,14.03235324395832,12.119131944444444,7.051328458698328,4.181048211958882,14.318290180144697
Northeast,9044,1497083.78,165.53336797877046,35.98623839009288,43.662486303456646,20.005012912694315,17.319947916666667,14.329942503317117,3.95422379478107,9.37415783909285
Center-West,5624,846956.7,150.59685277382644,26.488437055476528,34.406144745539805,15.017778740911966,13.278981481481482,7.965860597439544,4.118065433854907,5.829308236074546
North,1796,327074.95,182.11300111358574,41.34973273942093,48.89930272917434,22.592320750072176,20.15679398148148,9.799554565701559,4.017817371937639,1.8615642944505482
