delay_bucket,order_count,avg_review_score,pct_1star,low_rating_rate_pct,avg_actual_lead_time,order_share_pct
1. Early 10+ days,57203,4.312675908606192,6.691956715556876,9.200566403859938,10.016436881952579,59.29615424484296
2. Early 5-9 days,22562,4.265800904175162,6.683804627249357,9.484974736282245,11.485168560214323,23.387581631595314
3. Early 1-4 days,7417,4.138330861534313,8.03559390589187,11.406228933531077,14.55142470032558,7.688400539027677
4. On-Time (0 days),1462,4.146374829001368,7.523939808481532,11.422708618331054,16.961587951879718,1.5154970457136934
5. Late 1-3 days,2662,3.7486851990984222,14.199849737039818,19.571750563486102,21.076333922906752,2.7594070695553023
6. Late 4-7 days,1819,2.296866410115448,53.655854865310616,61.847168774051674,26.680848667867977,1.8855602778065719
7. Late 8-14 days,1790,1.7374301675977655,68.2122905027933,78.37988826815644,33.39452283131595,1.8554991188970664
8. Late 15+ days,1555,1.7041800643086817,69.58199356913182,78.90675241157557,52.89580215404311,1.611900072561418
