category_english,order_count,total_gmv,avg_price,avg_freight,avg_review_score
health_beauty,8803,1259968.04,143.12939225264114,20.74881972054981,4.169033284107691
watches_gifts,5603,1203090.21,214.7225075852222,17.988861324290557,4.052114938425843
bed_bath_table,9299,1031939.54,110.97317345951178,21.954412302398104,3.958597698677277
sports_leisure,7685,987819.48,128.5386441119063,21.927945348080677,4.157839947950553
computers_accessories,6661,912684.83,137.01919081219035,22.095565230445878,4.014712505629785
furniture_decor,6351,732081.75,115.27031176192726,27.199028499448904,4.0108644307983
housewares,5829,635149.98,108.96379825012866,25.131242065534398,4.135014582261109
cool_stuff,3597,634415.95,176.3736308034473,23.33251042535446,4.1659716430358635
auto,3877,591982.92,152.69097755996907,23.843257673458858,4.085375290172814
garden_tools,3480,486417.93,139.7752672413793,28.446293103448276,4.1419540229885055
toys,3863,483475.83,125.15553455863319,20.098700491845715,4.172663732850117
baby,2840,411556.27,144.9141795774648,24.03113732394366,4.035211267605634
perfumery,3149,399511.48,126.86931724356938,17.22532550015878,4.204826929183868
telephony,4181,323217.86,77.3063525472375,17.0207318823248,3.996412341545085
office_furniture,1264,273173.47000000003,216.1182515822785,53.97604430379747,3.6186708860759493
stationery,2299,232080.79,100.94858199217052,20.456485428447152,4.2370595911265765
computers,181,223040.93,1232.2703314917126,54.67767955801105,4.138121546961326
pet_shop,1703,214462.58000000002,125.93222548443923,23.249841456253673,4.2360540223135645
musical_instruments,624,191235.04,306.46641025641026,29.85032051282051,4.169871794871795
small_appliances,627,189653.47,302.4776236044657,25.5107336523126,4.154704944178628
uncategorized,1413,177910.84,125.91000707714083,19.594387827317764,3.9228591648973814
electronics,2539,160861.7,63.35632138637259,18.464588420638044,4.084285151634502
consoles_games,1058,157333.38999999998,148.70830812854442,18.735264650283554,4.050094517958412
fashion_bags_accessories,1855,152842.65,82.39495956873316,16.988851752021564,4.175202156334231
construction_tools_construction,740,145116.63,196.10355405405406,28.10578378378378,4.075675675675676
luggage_accessories,1028,140387.92,136.56412451361868,29.586585603112837,4.331712062256809
home_appliances_2,234,113359.64,484.442905982906,45.30461538461539,4.1239316239316235
home_construction,478,83635.67,174.9700209205021,28.930125523012553,4.01255230125523
home_appliances,764,80171.53,104.93655759162303,19.396465968586387,4.143979057591623
agro_industry_and_commerce,182,72530.47,398.51906593406596,32.10769230769231,4.021978021978022
furniture_living_room,415,68637.39,165.39130120481929,42.91057831325301,4.026506024096386
fixed_telephony,216,59627.5,276.05324074074076,21.442268518518517,3.8796296296296298
home_confort,373,57993.91,155.47965147453084,23.11088471849866,3.9195710455764075
air_conditioning,253,55207.95,218.21324110671935,26.918577075098813,3.9802371541501977
audio,348,51922.5,149.20258620689654,16.517097701149424,3.824712643678161
small_appliances_home_oven_and_coffee,75,47445.71,632.6094666666667,36.638133333333336,4.293333333333333
books_general_interest,509,46869.88,92.082278978389,18.087072691552063,4.461689587426326
kitchen_dining_laundry_garden_furniture,244,46282.97,189.68430327868853,48.777868852459015,4.032786885245901
construction_tools_lights,236,42413.9,179.7199152542373,32.58593220338983,4.088983050847458
construction_tools_safety,163,40347.7,247.53190184049078,23.980552147239262,3.8773006134969323
industry_commerce_and_business,235,40219.3,171.14595744680852,34.59612765957447,4.165957446808511
market_place,276,29400.48,106.52347826086957,20.59,4.032608695652174
food,445,29269.65,65.77449438202248,16.29541573033708,4.249438202247191
costruction_tools_garden,188,25804.75,137.2593085106383,28.413829787234043,4.23404255319149
art,199,24044.1,120.82462311557788,20.317788944723617,4.030150753768845
fashion_shoes,238,23493.97,98.71415966386554,20.540840336134455,4.180672268907563
drinks,289,21896.52,75.76650519031142,19.333737024221453,4.159169550173011
signaling_and_security,139,21433.33,154.19661870503597,46.66546762589928,4.107913669064748
furniture_bedroom,93,19545.68,210.16860215053765,48.936021505376345,4.161290322580645
books_technical,259,19213.98,74.18525096525096,16.7419305019305,4.382239382239383
costruction_tools_tools,97,15903.95,163.95824742268042,20.930103092783504,4.371134020618556
food_drink,225,15230.08,67.68924444444444,20.083333333333332,4.364444444444445
fashion_male_clothing,112,10847.720000000001,96.85464285714286,19.352767857142855,3.6785714285714284
fashion_underwear_beach,121,9541.55,78.85578512396694,15.836280991735538,3.909090909090909
christmas_supplies,128,8816.82,68.88140625,25.270234375,4.0390625
tablets_printing_image,77,7382.41,95.87545454545455,15.9174025974026,4.090909090909091
cine_photo,65,7157.34,110.11292307692308,19.80430769230769,4.230769230769231
dvds_blu_ray,59,6094.28,103.2928813559322,22.30593220338983,4.033898305084746
books_imported,52,4619.86,88.84346153846153,14.546346153846153,4.384615384615385
