purchase_year_quarter,order_count,total_gmv,total_freight,total_revenue,active_sellers,item_aov,total_aov,gmv_qoq_growth_pct
2017Q1,5262,741960.1900000001,113557.51,855517.7,655,141.00345686050932,162.58413150893196,
2017Q2,9349,1299036.97,202539.26,1501576.23,808,138.94929618140978,160.61356615680822,75.08176146216145
2017Q3,12642,1696404.85,277170.28,1973575.1300000001,1009,134.18801218161684,156.11257158677427,30.589420407334522
2017Q4,17848,2418404.97,393598.4,2812003.37,1261,135.5000543478261,157.55285578216046,42.56060220530495
2018Q1,21208,2777422.5100000002,471915.16,3249337.67,1376,130.96107648057338,153.2128286495662,14.845220070813859
2018Q2,19979,2858289.74,473867.23,3332156.97,1673,143.0647049401872,166.78297061915012,2.911592662219764
2018Q3,12820,1750338.55,311864.41,2062202.96,1617,136.53186817472698,160.8582652106084,-38.762731940534486
