model_name,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression (Baseline),0.655903389654815,0.1351740005752085,0.6006389776357828,0.22068317877685173,0.681103630322118
Random Forest Classifier (Ensemble),0.7148854566186379,0.15473684210526314,0.5635782747603834,0.2428079834824501,0.6997767777095594
