route_code,seller_state,customer_state,order_count,total_gmv,avg_freight_rs,avg_lead_time_days,late_delivery_rate_pct,avg_review_score,low_rating_rate_pct
SP -> SP,SP,SP,31419,3620696.61,15.222705369362487,7.945787020850047,6.08548967185461,4.1796683535440335,12.50835481714886
SP -> RJ,SP,RJ,8431,1106386.08,23.544425335072944,16.27930098434218,14.992290357015776,3.796109595540268,22.571462459969162
SP -> MG,SP,MG,7563,948715.1900000001,23.330513023932305,12.360011161936256,6.254131958217639,4.09546476266032,13.84371281237604
SP -> RS,SP,RS,3654,452519.2,23.78673782156541,16.165023280000618,7.471264367816093,4.083470169677066,14.012041598248496
SP -> PR,SP,PR,3169,405314.09,23.76275481224361,12.768811544267683,5.26980119911644,4.14326285894604,13.190280845692648
PR -> SP,PR,SP,2973,464804.18,21.99471913891692,11.178596596832843,3.4981500168180286,4.217288933736966,11.436259670366633
MG -> SP,MG,SP,2598,321057.08,24.503856812933023,10.919594884650676,4.234026173979984,4.193995381062356,11.239414934565051
SP -> BA,SP,BA,2383,322238.67,27.565979857322702,19.799361947211395,14.477549307595469,3.7981535879143937,20.268569030633653
SP -> SC,SP,SC,2364,310323.31,24.251290186125214,15.82198851037196,10.829103214890017,3.989424703891709,16.20135363790186
MG -> MG,MG,MG,1558,185023.62,18.708921694480104,8.704207035519126,3.080872913992298,4.302952503209243,10.205391527599486
SP -> ES,SP,ES,1486,189925.96,22.800275908479136,15.807806653547798,13.930013458950203,3.980484522207268,16.41991924629879
SP -> GO,SP,GO,1461,196036.73,24.238336755646817,16.016768782231598,8.966461327857632,3.991786447638604,15.811088295687886
SP -> DF,SP,DF,1410,180119.3,22.632893617021278,13.265757117091747,8.085106382978724,4.012765957446809,16.312056737588655
RJ -> SP,RJ,SP,1359,269901.11,21.284348785871966,11.838549148541562,8.830022075055188,4.077998528329654,15.378955114054452
SC -> SP,SC,SP,1328,206237.88,25.32843373493976,12.060374363867684,4.292168674698795,4.196536144578313,12.5
MG -> RJ,MG,RJ,1183,154954.64,27.614818258664414,14.198224811052219,8.960270498732037,4.027049873203719,16.14539306846999
SP -> PE,SP,PE,1170,162658.61,33.96371794871795,18.930752478405967,10.427350427350428,3.960683760683761,17.52136752136752
SP -> CE,SP,CE,1007,154695.17,34.80942403177755,21.263558310376492,14.697120158887786,3.8709036742800396,19.563058589870906
PR -> RJ,PR,RJ,997,149910.02,25.78925777331996,17.255901366888583,13.54062186559679,3.7993981945837514,22.668004012036107
RJ -> RJ,RJ,RJ,987,187868.49,14.001124620060791,6.623296325474635,6.281661600810537,4.26241134751773,12.664640324214794
PR -> MG,PR,MG,827,138859.92,26.17476420798065,13.925295188593502,5.199516324062878,4.178960096735188,12.817412333736398
PR -> PR,PR,PR,729,106938.17,18.04530864197531,8.231991342202456,4.252400548696845,4.311385459533608,9.739368998628258
SP -> PA,SP,PA,700,116321.68,36.0839,23.28047071861084,12.857142857142856,3.802857142857143,19.857142857142858
RS -> SP,RS,SP,680,118331.46,26.82164705882353,10.12353261847423,2.2058823529411766,4.3,9.117647058823529
SP -> MT,SP,MT,663,99816.56,29.92156862745098,17.731006465883954,6.636500754147813,4.117647058823529,13.725490196078432
PR -> RS,PR,RS,585,86442.73,25.33234188034188,13.342819130979938,5.128205128205128,4.256410256410256,10.598290598290598
RJ -> MG,RJ,MG,563,108224.1,20.61966252220249,12.185450007534659,7.104795737122557,4.191829484902309,12.966252220248666
SP -> MA,SP,MA,508,69351.42,42.52692913385827,22.04645463998043,20.47244094488189,3.6181102362204722,25.0
SP -> MS,SP,MS,484,73971.57,25.355578512396693,15.961094016348985,14.46280991735537,4.049586776859504,16.32231404958678
SC -> RJ,SC,RJ,479,79954.48,28.98359081419624,16.38359640957447,10.020876826722338,3.906054279749478,19.41544885177453
SC -> MG,SC,MG,433,80713.79,31.81392609699769,14.725149512041384,5.080831408775981,4.064665127020786,15.011547344110854
PR -> SC,PR,SC,397,60676.05,23.36793450881612,13.383889571462488,6.54911838790932,4.249370277078086,11.838790931989925
MG -> BA,MG,BA,376,46336.28,29.865239361702127,18.426727105530187,10.372340425531915,4.023936170212766,15.691489361702127
MG -> PR,MG,PR,366,47351.6,28.637978142076502,12.772842280124477,1.912568306010929,4.2923497267759565,8.743169398907105
SP -> PB,SP,PB,348,67921.53,49.21715517241379,20.67615162037037,10.632183908045976,3.9798850574712645,17.81609195402299
SP -> PI,SP,PI,343,51477.83,41.335772594752186,20.33918854835078,17.49271137026239,3.8658892128279883,19.825072886297377
SP -> RN,SP,RN,341,56073.82,41.284105571847505,20.437845558882234,11.730205278592376,4.0146627565982405,16.129032258064516
DF -> SP,DF,SP,313,36342.92,20.830990415335464,10.862594710723796,2.8753993610223643,4.146964856230032,11.821086261980831
SC -> RS,SC,RS,297,49497.87,25.87040404040404,12.87546876975098,6.0606060606060606,4.269360269360269,12.121212121212121
RS -> RS,RS,RS,294,56953.76,17.632448979591835,7.394953261638374,5.1020408163265305,4.496598639455782,6.122448979591836
SC -> PR,SC,PR,284,43072.69,24.776408450704224,11.110092919774898,3.169014084507042,4.376760563380282,7.746478873239436
MG -> RS,MG,RS,280,36463.27,37.32346428571429,17.2989907071927,5.0,4.139285714285714,13.571428571428571
SP -> AL,SP,AL,265,42568.5,36.955698113207546,25.053054602396514,25.28301886792453,3.6037735849056602,27.169811320754718
SC -> SC,SC,SC,264,48023.85,19.94875,8.560630425347222,6.0606060606060606,4.337121212121212,10.606060606060606
MG -> SC,MG,SC,256,35268.39,32.1393359375,17.279672605872808,8.59375,4.05078125,14.453125
RS -> RJ,RS,RJ,248,50307.14,30.481693548387096,14.112775037792895,8.46774193548387,4.048387096774194,16.93548387096774
SP -> SE,SP,SE,212,33970.35,43.47584905660377,21.321168480680203,16.037735849056602,3.7641509433962264,21.22641509433962
RJ -> PR,RJ,PR,206,41316.94,22.38718446601942,12.910738118044153,8.737864077669903,4.033980582524272,19.41747572815534
RJ -> RS,RJ,RS,204,36354.99,23.65073529411765,15.878545091647771,9.313725490196079,4.127450980392157,16.176470588235293
SP -> TO,SP,TO,200,35985.69,42.470150000000004,17.78958632966723,12.5,4.075,15.0
MG -> DF,MG,DF,192,32154.12,25.441041666666667,11.865059224783295,3.125,4.223958333333333,10.416666666666668
RS -> MG,RS,MG,188,43220.51,33.80143617021277,11.805811865292712,2.6595744680851063,4.420212765957447,6.382978723404255
MG -> ES,MG,ES,179,21850.21,29.34603351955307,16.198885030864197,4.4692737430167595,4.078212290502793,15.083798882681565
SP -> RO,SP,RO,172,26728.670000000002,46.610872093023254,19.382829278983124,2.9069767441860463,4.186046511627907,11.627906976744185
MG -> GO,MG,GO,153,19239.48,32.53542483660131,14.258534442580164,2.6143790849673203,4.098039215686274,13.725490196078432
PR -> DF,PR,DF,152,27437.55,33.359605263157896,13.423078009259259,3.9473684210526314,4.197368421052632,12.5
PR -> BA,PR,BA,147,35056.38,50.50918367346939,21.892349294224292,16.3265306122449,3.7142857142857144,22.448979591836736
BA -> SP,BA,SP,140,73822.52,37.560500000000005,11.424325662341174,5.0,4.178571428571429,10.714285714285714
RS -> PR,RS,PR,139,18478.55,21.81043165467626,10.40462535225443,5.0359712230215825,4.273381294964029,10.071942446043165
RJ -> BA,RJ,BA,138,29599.440000000002,30.857608695652175,16.937244084362142,10.869565217391305,4.072463768115942,14.492753623188406
GO -> SP,GO,SP,129,21890.5,28.490852713178295,10.889436388888889,3.875968992248062,4.27906976744186,10.077519379844961
MA -> SP,MA,SP,125,11685.689999999999,33.8276,16.093032220728794,24.8,3.864,20.0
RJ -> SC,RJ,SC,117,22535.12,26.39752136752137,15.139084304728836,10.256410256410255,4.128205128205129,12.82051282051282
RS -> SC,RS,SC,117,21040.59,23.09059829059829,9.382177033011272,0.0,4.504273504273504,5.128205128205128
MG -> PE,MG,PE,114,13774.09,39.55657894736842,16.60922685185185,7.894736842105263,4.245614035087719,14.035087719298245
RJ -> GO,RJ,GO,110,19660.65,23.236545454545453,15.020538837448559,7.2727272727272725,4.1909090909090905,10.909090909090908
PR -> ES,PR,ES,108,22685.84,34.60037037037037,17.746218921467765,9.25925925925926,4.055555555555555,13.88888888888889
PE -> SP,PE,SP,105,23183.12,31.358,11.891561720975783,2.857142857142857,4.333333333333333,10.476190476190476
ES -> SP,ES,SP,103,15894.26,33.96660194174757,12.09660162037037,9.70873786407767,4.058252427184466,13.592233009708737
DF -> MG,DF,MG,103,12384.25,19.866407766990292,9.337788115785688,0.9708737864077669,3.970873786407767,16.50485436893204
DF -> RJ,DF,RJ,101,12441.87,22.241386138613862,13.983247130594135,6.9306930693069315,3.772277227722772,24.752475247524753
RJ -> DF,RJ,DF,101,18200.27,19.935346534653466,14.377031906261934,7.920792079207921,4.01980198019802,14.85148514851485
SP -> AM,SP,AM,100,13066.17,33.912800000000004,25.84712588851478,4.0,4.19,15.0
RJ -> ES,RJ,ES,98,15951.47,20.771632653061225,12.522589285714284,2.0408163265306123,4.377551020408164,6.122448979591836
RJ -> PE,RJ,PE,94,22408.66,43.83085106382979,17.004536655474155,12.76595744680851,4.138297872340425,14.893617021276595
PR -> GO,PR,GO,91,19800.39,39.090329670329666,15.942555209663686,4.395604395604396,4.054945054945055,16.483516483516482
PR -> PE,PR,PE,90,23829.39,52.977333333333334,19.412352767011196,12.222222222222221,3.966666666666667,18.88888888888889
MG -> PA,MG,PA,87,13282.890000000001,48.03908045977011,27.349281442901233,12.643678160919542,3.8620689655172415,21.839080459770116
GO -> MG,GO,MG,85,13663.16,23.545882352941177,10.437390813253012,1.1764705882352942,4.341176470588235,10.588235294117647
BA -> RJ,BA,RJ,85,36338.99,35.40964705882353,13.392205070281126,5.88235294117647,4.070588235294117,14.117647058823529
SC -> BA,SC,BA,83,19496.98,47.41963855421687,20.798565111585944,12.048192771084338,3.63855421686747,22.89156626506024
MG -> CE,MG,CE,76,10210.89,41.721315789473685,20.697651714214214,11.842105263157894,4.0394736842105265,11.842105263157894
BA -> BA,BA,BA,70,28408.45,18.549,10.523251262626262,8.571428571428571,4.1571428571428575,15.714285714285714
SC -> DF,SC,DF,70,9991.11,33.52728571428571,13.261973295759528,1.4285714285714286,4.457142857142857,5.714285714285714
PR -> CE,PR,CE,66,14995.91,46.459545454545456,25.101497034143517,13.636363636363635,3.4545454545454546,28.78787878787879
MG -> MA,MG,MA,66,9553.98,51.19651515151516,20.186203703703704,15.151515151515152,4.106060606060606,15.151515151515152
MG -> MS,MG,MS,63,10968.2,31.346031746031745,16.10478730267152,6.349206349206349,4.190476190476191,12.698412698412698
PR -> MT,PR,MT,62,15439.25,42.02516129032258,18.025753884180794,4.838709677419355,3.9838709677419355,17.741935483870968
PE -> MG,PE,MG,62,10786.800000000001,33.826129032258066,11.721445265830347,0.0,4.112903225806452,14.516129032258066
ES -> RJ,ES,RJ,61,9946.54,31.764262295081966,12.694503688010043,8.19672131147541,4.0,16.39344262295082
GO -> RJ,GO,RJ,58,5799.15,26.35965517241379,14.6728337880291,5.172413793103448,4.206896551724138,15.517241379310345
